dataset,feature_name,reporting_name,block,variable_type,candidate_status,behavioural_reason,history_definition,nonmissing_training,missing_fraction_training,numeric_redundancy_hits_abs_rho_ge_0p80,categorical_redundancy_hits_v_ge_0p80,cross_type_hits_eta2_ge_0p50,recommended_action,recommended_reason,user_decision,user_note,final_action
individual,veh1_ttc_capped_sec,veh1_ttc_capped_sec,ranked_vehicle_context,numeric,candidate,Short TTC can discourage crossing,front y divided by closing speed capped at 30 s,28139,0.0,veh1_closing_speed_mps:-0.829|veh1_history_front_y_change_m:0.810|veh1_speed_mps:-0.801,,1,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_ttc_capped_sec,veh2_ttc_capped_sec,ranked_vehicle_context,numeric,candidate,Short TTC can discourage crossing,front y divided by closing speed capped at 30 s,28139,0.0,veh2_closing_speed_mps:-0.825|veh2_history_front_y_change_m:0.808|veh2_speed_mps:-0.803,,1,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_ttc_capped_sec,veh3_ttc_capped_sec,ranked_vehicle_context,numeric,candidate,Short TTC can discourage crossing,front y divided by closing speed capped at 30 s,28139,0.0,veh3_closing_speed_mps:-0.831|veh3_speed_mps:-0.819|veh3_history_front_y_change_m:0.812,,1,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_ttc_infinite,veh1_ttc_infinite,ranked_vehicle_context,binary,candidate,Separates genuinely large TTC from stopped or nonapproaching vehicles,one when stopped receding or no finite TTC,28139,0.0,,,1,retain_only_if_required_by_selected_parent_vehicle_feature,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_ttc_infinite,veh2_ttc_infinite,ranked_vehicle_context,binary,candidate,Separates genuinely large TTC from stopped or nonapproaching vehicles,one when stopped receding or no finite TTC,28139,0.0,,,1,retain_only_if_required_by_selected_parent_vehicle_feature,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_ttc_infinite,veh3_ttc_infinite,ranked_vehicle_context,binary,candidate,Separates genuinely large TTC from stopped or nonapproaching vehicles,one when stopped receding or no finite TTC,28139,0.0,,,1,retain_only_if_required_by_selected_parent_vehicle_feature,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_class,veh1_class,ranked_vehicle_context,categorical,candidate,Vehicle type may change perceived risk and pedestrian response,best vehicle class for each ranked vehicle,28139,0.0,,veh1_present:1.000,1,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_class,veh2_class,ranked_vehicle_context,categorical,candidate,Vehicle type may change perceived risk and pedestrian response,best vehicle class for each ranked vehicle,28139,0.0,,veh2_present:1.000,2,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_class,veh3_class,ranked_vehicle_context,categorical,candidate,Vehicle type may change perceived risk and pedestrian response,best vehicle class for each ranked vehicle,28139,0.0,,veh3_present:1.000,2,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_history_mean_front_y_m,veh1_history_mean_front_y_m,ranked_vehicle_context,numeric,candidate,Average distance reduces one-frame tracking noise,mean vehicle y across previous 2 s,26792,0.0478695049575322,veh1_front_y_m:0.883,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_history_mean_front_y_m,veh2_history_mean_front_y_m,ranked_vehicle_context,numeric,candidate,Average distance reduces one-frame tracking noise,mean vehicle y across previous 2 s,25253,0.1025622801094566,veh2_front_y_m:0.887,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_history_mean_front_y_m,veh3_history_mean_front_y_m,ranked_vehicle_context,numeric,candidate,Average distance reduces one-frame tracking noise,mean vehicle y across previous 2 s,23634,0.1600980845090444,veh3_front_y_m:0.871,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_history_front_y_change_m,veh1_history_front_y_change_m,ranked_vehicle_context,numeric,candidate,Distance change represents recent approach dynamics,last minus first vehicle y across previous 2 s,26792,0.0478695049575322,veh1_closing_speed_mps:-0.849|veh1_ttc_capped_sec:0.810|veh1_speed_mps:-0.805,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_history_front_y_change_m,veh2_history_front_y_change_m,ranked_vehicle_context,numeric,candidate,Distance change represents recent approach dynamics,last minus first vehicle y across previous 2 s,25253,0.1025622801094566,veh2_closing_speed_mps:-0.868|veh2_speed_mps:-0.836|veh2_ttc_capped_sec:0.808,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_history_front_y_change_m,veh3_history_front_y_change_m,ranked_vehicle_context,numeric,candidate,Distance change represents recent approach dynamics,last minus first vehicle y across previous 2 s,23634,0.1600980845090444,veh3_closing_speed_mps:-0.882|veh3_speed_mps:-0.869|veh3_ttc_capped_sec:0.812,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh1_history_observed_fraction,veh1_history_observed_fraction,ranked_vehicle_context,numeric,candidate,Quantifies reliability of ranked-vehicle history,directly observed fraction for each vehicle over previous 2 s,28139,0.0,,,1,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh2_history_observed_fraction,veh2_history_observed_fraction,ranked_vehicle_context,numeric,candidate,Quantifies reliability of ranked-vehicle history,directly observed fraction for each vehicle over previous 2 s,28139,0.0,,,4,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,veh3_history_observed_fraction,veh3_history_observed_fraction,ranked_vehicle_context,numeric,candidate,Quantifies reliability of ranked-vehicle history,directly observed fraction for each vehicle over previous 2 s,28139,0.0,,,3,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_history_mean_group_size,dbscan_history_mean_group_size,dbscan_context,numeric,theory_mandatory,Group presence is a required explanatory behavioural variable,mean snapshot group size across previous 2 s,28139,0.0,dbscan_history_mean_spread_m:0.977,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_history_mean_spread_m,dbscan_history_mean_spread_m,dbscan_context,numeric,candidate,Compact and dispersed groups may behave differently,mean DBSCAN spatial spread across previous 2 s,28139,0.0,dbscan_history_mean_group_size:0.977,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_history_mean_vx_mps,dbscan_history_mean_vx_mps,dbscan_context,numeric,candidate,Companion lateral motion may influence the focal pedestrian,mean group vx averaged across previous 2 s,28139,0.0,history_mean_vx_mps:0.867|history_x_displacement_m:0.864,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_history_mean_vy_mps,dbscan_history_mean_vy_mps,dbscan_context,numeric,candidate,Companions moving toward the road may encourage crossing,mean group vy averaged across previous 2 s,28139,0.0,history_mean_vy_mps:0.860|history_y_displacement_m:0.854,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_history_mean_speed_mps,dbscan_history_mean_speed_mps,dbscan_context,numeric,candidate,Represents group activity level,mean group speed averaged across previous 2 s,28139,0.0,history_mean_speed_mps:0.914|window_low_speed_fraction:-0.823,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_wait_mean_sec,dbscan_companion_wait_mean_sec,dbscan_context,numeric,candidate,Average companion waiting may influence the focal decision,mean current waiting duration among companions,28139,0.0,dbscan_companion_wait_max_sec:0.987|dbscan_companion_low_speed_wait_mean_sec:0.944|dbscan_companion_low_speed_wait_max_sec:0.934|dbscan_companion_low_speed_fraction:0.888,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_wait_min_sec,dbscan_companion_wait_min_sec,dbscan_context,numeric,candidate,Newest companion may indicate recent group formation,minimum current waiting duration among companions,28139,0.0,dbscan_companion_low_speed_wait_min_sec:0.820,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_wait_max_sec,dbscan_companion_wait_max_sec,dbscan_context,numeric,candidate,Longest-waiting companion may influence crossing initiation,maximum current waiting duration among companions,28139,0.0,dbscan_companion_wait_mean_sec:0.987|dbscan_companion_low_speed_wait_max_sec:0.951|dbscan_companion_low_speed_wait_mean_sec:0.944|dbscan_companion_low_speed_fraction:0.861,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_low_speed_fraction,dbscan_companion_low_speed_fraction,dbscan_context,numeric,candidate,Distinguishes a waiting group from a moving cluster,fraction of companions currently in low-speed waiting,28139,0.0,dbscan_companion_low_speed_wait_mean_sec:0.933|dbscan_companion_low_speed_wait_max_sec:0.907|dbscan_companion_wait_mean_sec:0.888|dbscan_companion_wait_max_sec:0.861|dbscan_companion_low_speed_wait_min_sec:0.800,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_low_speed_wait_mean_sec,dbscan_companion_low_speed_wait_mean_sec,dbscan_context,numeric,sensitivity_only,Tests whether companions with longer established waiting influence the focal decision,mean causal cumulative low-speed waiting time among current companions,28139,0.0,dbscan_companion_low_speed_wait_max_sec:0.994|dbscan_companion_wait_max_sec:0.944|dbscan_companion_wait_mean_sec:0.944|dbscan_companion_low_speed_fraction:0.933,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_low_speed_wait_min_sec,dbscan_companion_low_speed_wait_min_sec,dbscan_context,numeric,sensitivity_only,Identifies whether every current companion has established low-speed waiting,minimum causal cumulative low-speed waiting time among current companions,28139,0.0,dbscan_companion_wait_min_sec:0.820|dbscan_companion_low_speed_fraction:0.800,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_low_speed_wait_max_sec,dbscan_companion_low_speed_wait_max_sec,dbscan_context,numeric,sensitivity_only,Captures the longest-waiting current companion as a possible behavioural cue,maximum causal cumulative low-speed waiting time among current companions,28139,0.0,dbscan_companion_low_speed_wait_mean_sec:0.994|dbscan_companion_wait_max_sec:0.951|dbscan_companion_wait_mean_sec:0.934|dbscan_companion_low_speed_fraction:0.907,,0,review_redundancy_before_ranking,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_male_ratio_2s_mean,dbscan_companion_male_ratio_2s_mean,dbscan_demography,numeric,theory_mandatory,Required demographic composition hypothesis,mean male proportion among companions across previous 2 s,28139,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_female_ratio_2s_mean,dbscan_companion_female_ratio_2s_mean,dbscan_demography,numeric,theory_mandatory,Required demographic composition hypothesis,mean female proportion among companions across previous 2 s,28139,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_unknown_gender_ratio_2s_mean,dbscan_companion_unknown_gender_ratio_2s_mean,dbscan_demography,numeric,reference_not_jointly_encoded,Retains classification uncertainty for audit,mean unknown-gender proportion among companions across previous 2 s,28139,0.0,,,0,retain_reporting_reference_not_joint_input,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_young_ratio_2s_mean,dbscan_companion_young_ratio_2s_mean,dbscan_demography,numeric,theory_mandatory,Required age-composition hypothesis,mean young proportion among companions across previous 2 s,28139,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_adult_ratio_2s_mean,dbscan_companion_adult_ratio_2s_mean,dbscan_demography,numeric,theory_mandatory,Required age-composition hypothesis,mean adult proportion among companions across previous 2 s,28139,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_old_ratio_2s_mean,dbscan_companion_old_ratio_2s_mean,dbscan_demography,numeric,theory_mandatory,Required age-composition hypothesis,mean older proportion among companions across previous 2 s,28139,0.0,,,0,retain_explanatory_block_for_separate_validation,Recommendation is provisional; user review is required before ranking.,,,
individual,dbscan_companion_unknown_age_ratio_2s_mean,dbscan_companion_unknown_age_ratio_2s_mean,dbscan_demography,numeric,reference_not_jointly_encoded,Retains classification uncertainty for audit,mean unknown-age proportion among companions across previous 2 s,28139,0.0,,,0,retain_reporting_reference_not_joint_input,Recommendation is provisional; user review is required before ranking.,,,
individual,location_id,location_id,analysis_control,categorical,subgroup_analysis_only,Location may explain baseline differences but can hide physical mechanisms,recording location,28139,0.0,,,0,retain_subgroup_only,Recommendation is provisional; user review is required before ranking.,,,
individual,traffic_period,traffic_period,analysis_control,categorical,subgroup_analysis_only,Traffic period may explain behavioural differences,peak or off-peak recording period,28139,0.0,,,0,retain_subgroup_only,Recommendation is provisional; user review is required before ranking.,,,
